converted_alias
ENSG00000094914
ENSG00000103591
ENSG00000115977
ENSG00000087884
ENSG00000127837
ENSG00000131043
ENSG00000124608
ENSG00000108825
ENSG00000266967
ENSG00000157426
ENSG00000149313
ENSG00000275700
ENSG00000135776
ENSG00000131269
ENSG00000197150
ENSG00000124574
ENSG00000114770
ENSG00000101986
ENSG00000117528
ENSG00000119688
ENSG00000164163
ENSG00000204574
ENSG00000033050
ENSG00000285292
ENSG00000161204
ENSG00000118777
ENSG00000144827
ENSG00000106077
ENSG00000100997
ENSG00000139826
ENSG00000248487
ENSG00000204427
ENSG00000100439
ENSG00000011198
ENSG00000127220
ENSG00000136754
ENSG00000097007
ENSG00000143322
ENSG00000146109
ENSG00000166016
ENSG00000278540
ENSG00000111271
ENSG00000151498
ENSG00000177646
ENSG00000072778
ENSG00000131584
ENSG00000120437
ENSG00000182827
ENSG00000107897
ENSG00000230124
ENSG00000102977
ENSG00000100813
ENSG00000131473
ENSG00000122729
ENSG00000100412
ENSG00000112304
ENSG00000101473
ENSG00000123130
ENSG00000161533
ENSG00000087008
ENSG00000143727
ENSG00000134575
ENSG00000162836
ENSG00000167107
ENSG00000176715
ENSG00000123983
ENSG00000068366
ENSG00000154930
ENSG00000131069
ENSG00000136518
ENSG00000130402
ENSG00000131966
ENSG00000138107
ENSG00000115073
ENSG00000115091
ENSG00000101442
ENSG00000075089
ENSG00000113812
ENSG00000115170
ENSG00000135503
ENSG00000121989
ENSG00000170634
ENSG00000137845
ENSG00000143537
ENSG00000151694
ENSG00000168615
ENSG00000160710
ENSG00000065457
ENSG00000063761
ENSG00000133597
ENSG00000123815
ENSG00000173137
ENSG00000087274
ENSG00000197894
ENSG00000182551
ENSG00000159346
ENSG00000006831
ENSG00000156110
ENSG00000101126
ENSG00000181915
ENSG00000144843
ENSG00000170222
ENSG00000130706
ENSG00000239900
ENSG00000139154
ENSG00000172493
ENSG00000072364
ENSG00000141385
ENSG00000119844
ENSG00000038002
ENSG00000157985
ENSG00000133612
ENSG00000172650
ENSG00000204149
ENSG00000173744
ENSG00000106351
ENSG00000164252
ENSG00000006530
ENSG00000162688
ENSG00000204310
ENSG00000160216
ENSG00000018510
ENSG00000153207
ENSG00000101444
ENSG00000168710
ENSG00000100591
ENSG00000156709
ENSG00000164022
ENSG00000110711
ENSG00000004455
ENSG00000147853
ENSG00000121057
ENSG00000108599
ENSG00000118507
ENSG00000105127
ENSG00000011243
ENSG00000127914
ENSG00000166452
ENSG00000174574
ENSG00000135334
ENSG00000117448
ENSG00000085662
ENSG00000053371
ENSG00000142208
ENSG00000204673
ENSG00000105221
ENSG00000166971
ENSG00000148218
ENSG00000111275
ENSG00000072210
ENSG00000119711
ENSG00000143149
ENSG00000033011
ENSG00000175548
ENSG00000253710
ENSG00000182858
ENSG00000101901
ENSG00000119523
ENSG00000120697
ENSG00000088035
ENSG00000159063
ENSG00000086848
ENSG00000100601
ENSG00000189046
ENSG00000166199
ENSG00000160993
ENSG00000091542
ENSG00000239382
ENSG00000137760
ENSG00000073331
ENSG00000003393
ENSG00000183684
ENSG00000110497
ENSG00000123505
ENSG00000159461
ENSG00000144233
ENSG00000196704
ENSG00000153107
ENSG00000164162
ENSG00000141552
ENSG00000129055
ENSG00000110200
ENSG00000166295
ENSG00000176248
ENSG00000053900
ENSG00000089053
ENSG00000196510
ENSG00000013523
ENSG00000174606
ENSG00000185722
ENSG00000154122
ENSG00000131503
ENSG00000254996
ENSG00000001629
ENSG00000176915
ENSG00000106524
ENSG00000164331
ENSG00000088448
ENSG00000167522
ENSG00000101745
ENSG00000118454
ENSG00000134461
ENSG00000132466
ENSG00000107890
ENSG00000105186
ENSG00000206560
ENSG00000213337
ENSG00000186106
ENSG00000168876
ENSG00000151458
ENSG00000139645
ENSG00000100124
ENSG00000163516
